date,City/Place,district,urban_tier,country,property_type,furnishing_status,price,bedrooms,bathrooms,floors,sqft_living,sqft_ground_floor,sqft_above_ground_floor,area_cents,yr_built,yr_renovated,view,condition,distance_city_center_km,distance_school_km,distance_hospital_km,parking,builder_reputation_score,place,nearest_it_park_distance_km,nearest_airport_distance_km,nearest_bus_station_distance_km,nearest_mall_distance_km,school_rating,hospital_rating,crime_index,future_development_score,latitude,longitude
2025-04-07,Thiruvananthapuram,Alappuzha,1,India,Apartment,Unfurnished,13295042,2,2.0,1,1750,1750,0,10.66,1999,0,1.0,2,2.1,2.4,2.2,No,3.4,Chengannur,22.4,52.5,15.6,27.5,7.8,5.2,7.0,2.3,9.523019,76.364466
2024-01-11,Kozhikode,Ernakulam,1,India,Apartment,Semi-Furnished,18626468,4,4.0,1,2500,2500,0,21.29,2002,2011,4.0,2,3.9,4.0,4.1,Yes,5.5,Kochi,11.7,35.9,6.6,26.4,7.9,8.8,4.8,2.6,10.151332,76.257487
2023-06-08,Kottayam,Malappuram,1,India,Apartment,Semi-Furnished,9367508,2,2.0,1,1453,1453,0,17.92,1997,2007,4.0,5,5.0,4.0,5.0,No,4.7,Kottakkal,28.0,63.2,4.6,9.0,7.6,3.6,2.5,6.0,10.999021,76.014898
2024-08-25,Wayanad,Ernakulam,3,India,Villa,Unfurnished,9754666,2,2.0,2,1682,841,841,19.93,2007,2025,3.0,4,11.1,10.0,11.4,Yes,7.1,Fort Kochi,3.7,6.2,10.3,10.0,4.3,8.6,9.6,7.1,10.029278,76.380318
2023-08-31,Kozhikode,Ernakulam,1,India,Independent House,Semi-Furnished,20644460,2,2.0,1,1642,1642,0,18.79,2004,0,0.0,2,4.6,4.0,5.0,Yes,4.9,Marine Drive,41.5,65.4,1.8,18.0,4.5,8.2,3.1,9.9,9.970884,76.222787
2025-06-15,Kozhikode,Wayanad,1,India,Apartment,Unfurnished,19357416,3,3.0,1,2043,2043,0,6.18,2020,0,1.0,3,1.5,1.6,1.7,Yes,4.0,Ambalavayal,31.8,65.2,11.1,6.5,5.2,5.4,7.7,8.6,11.614042,76.182047
2023-04-04,Alappuzha,Alappuzha,1,India,Apartment,Semi-Furnished,8240505,2,1.0,1,1193,1193,0,19.44,2004,0,3.0,5,5.3,4.0,5.0,Yes,9.1,Mavelikkara,38.0,19.8,7.5,26.3,6.0,7.3,1.2,7.8,9.54946,76.373452
2023-07-31,Kollam,Kottayam,1,India,Independent House,Fully Furnished,22988847,6,5.0,1,4620,4620,0,18.35,2025,0,2.0,5,3.2,3.0,2.8,Yes,6.1,Erattupetta,18.0,4.9,14.6,8.5,5.5,8.6,8.0,2.3,9.536759,76.538573
2024-01-05,Malappuram,Malappuram,1,India,Apartment,Fully Furnished,12672875,4,4.0,1,2500,2500,0,26.03,2009,0,3.0,2,2.2,1.9,1.8,Yes,6.6,Ponnani,48.5,57.7,12.6,2.3,7.7,3.9,7.4,1.5,11.049335,76.097495
2023-06-05,Thrissur,Alappuzha,1,India,Apartment,Semi-Furnished,16918748,4,3.0,1,2484,2484,0,23.71,1993,0,,5,5.3,4.0,5.0,,3.9,Kayamkulam,44.7,17.6,5.1,16.2,7.7,9.6,6.7,6.0,9.559714,76.347888
2024-05-04,Palakkad,Thiruvananthapuram,1,India,Apartment,Fully Furnished,13300000,4,4.0,1,2500,2500,0,12.01,1992,0,2.0,4,6.0,4.0,5.0,Yes,5.5,Parassala,39.0,79.7,14.7,22.1,5.2,4.6,3.1,5.9,8.574313,76.945406
2025-03-12,Kottayam,Kollam,1,India,Villa,Unfurnished,14848244,4,4.0,2,2633,1316,1317,17.24,2021,0,0.0,3,5.6,4.0,5.0,Yes,6.7,Kottarakkara,10.1,2.7,6.4,28.7,8.2,7.6,9.1,8.1,8.91313,76.640503
2025-06-03,Thrissur,Pathanamthitta,1,India,Villa,Unfurnished,6823445,1,1.0,1,889,889,0,13.46,2022,0,2.0,4,3.4,3.8,3.5,Yes,4.4,Mallappally,23.6,19.9,5.1,18.9,5.6,7.7,4.2,7.9,9.143428,76.764426
2024-01-06,Malappuram,Ernakulam,1,India,Villa,Fully Furnished,10186058,2,2.0,2,1246,623,623,11.96,2015,0,4.0,2,1.3,1.4,1.0,No,7.2,Kadavanthra,2.7,5.3,8.5,3.5,3.2,4.4,3.4,7.3,9.94237,76.23889
2025-04-10,Malappuram,Thrissur,1,India,Independent House,Fully Furnished,22207689,5,4.0,2,3817,1908,1909,20.98,1993,0,0.0,5,2.3,2.5,2.0,Yes,5.4,Kodungallur,8.1,63.0,3.3,20.0,7.6,3.8,2.3,2.5,10.497989,76.329595
2025-05-19,Kozhikode,Thiruvananthapuram,1,India,Independent House,Fully Furnished,4984190,1,1.0,1,718,718,0,20.73,1987,0,,3,3.1,3.0,3.6,,6.0,Parassala,34.3,47.1,6.6,3.2,8.5,8.4,6.0,2.5,8.450734,77.017462
2024-10-28,Kannur,Kottayam,1,India,Villa,Fully Furnished,26261850,6,5.0,3,4393,1464,2929,14.28,2017,0,1.0,2,3.8,3.9,3.9,Yes,5.4,Erattupetta,37.4,68.2,5.3,6.2,7.7,5.9,8.0,5.9,9.45537,76.493209
2024-03-09,Kozhikode,Idukki,1,India,Apartment,Unfurnished,21221463,4,3.0,1,2500,2500,0,7.02,2010,0,2.0,3,2.5,2.7,2.8,Yes,9.8,Adimali,48.4,77.1,0.6,9.3,4.3,7.7,2.7,2.2,9.86302,77.016898
2025-04-26,Kottayam,Thiruvananthapuram,1,India,Apartment,Fully Furnished,13366410,3,3.0,1,2024,2024,0,7.79,1989,0,3.0,2,3.7,4.0,3.4,Yes,6.5,Ulloor,16.6,49.6,6.2,2.1,6.0,3.4,5.4,7.9,8.576898,77.003468
2025-05-09,Kochi,Ernakulam,1,India,Independent House,Semi-Furnished,44727917,4,3.0,3,2880,960,1920,9.66,2021,0,1.0,4,3.9,3.4,3.7,Yes,4.6,Thevara,18.8,20.1,9.4,11.3,8.6,8.4,9.0,9.9,9.952102,76.253012
2025-02-27,Kottayam,Thrissur,1,India,Independent House,Semi-Furnished,28865123,6,5.0,1,4624,4624,0,18.87,2016,0,4.0,3,1.8,1.6,1.5,Yes,8.0,Kunnamkulam,23.7,9.2,16.6,23.1,3.5,8.5,7.5,1.7,10.588638,76.194696
2023-02-01,Thrissur,Ernakulam,1,India,Independent House,Fully Furnished,14088185,2,2.0,2,1742,871,871,13.37,2016,0,2.0,5,1.9,2.3,2.3,Yes,4.3,Thrippunithura,9.9,69.6,3.8,2.1,9.6,6.1,3.2,1.7,9.877945,76.199337
2024-05-02,Kannur,Ernakulam,1,India,Apartment,Fully Furnished,10685923,2,2.0,1,1213,1213,0,17.39,2019,0,4.0,4,2.2,2.0,2.4,Yes,6.9,Edappally,6.9,21.1,6.7,15.1,3.3,4.9,4.6,9.4,9.906444,76.329773
2024-07-26,Kollam,Kozhikode,1,India,Independent House,Unfurnished,15522868,2,1.0,1,1748,1748,0,11.99,2017,0,3.0,3,2.2,2.1,2.6,No,3.0,Mananchira,24.0,71.7,0.8,7.2,4.3,3.3,2.0,8.8,11.271394,75.835239
2025-05-12,Palakkad,Malappuram,1,India,Independent House,Fully Furnished,12981158,4,4.0,2,2489,1244,1245,22.58,1988,0,2.0,2,3.1,3.1,2.9,Yes,4.1,Tanur,11.7,70.5,1.7,17.2,7.3,5.0,1.7,2.1,11.00582,76.092683
2024-03-30,Wayanad,Kollam,3,India,Villa,Semi-Furnished,13311705,5,5.0,2,3756,1878,1878,27.01,2007,0,0.0,3,10.7,10.0,10.5,No,6.9,Punalur,33.7,51.0,7.3,15.0,6.3,5.8,7.4,2.1,8.940047,76.565252
2024-09-22,Palakkad,Alappuzha,1,India,Villa,Unfurnished,24643692,6,5.0,2,4022,2011,2011,13.41,2007,0,1.0,4,2.2,2.3,2.6,Yes,7.8,Mavelikkara,22.1,49.1,10.1,5.4,7.2,4.7,2.0,2.3,9.526542,76.277046
2024-07-10,Kozhikode,Malappuram,1,India,Villa,Semi-Furnished,14748834,3,3.0,2,2004,1002,1002,13.55,1999,0,2.0,5,2.5,2.4,2.2,Yes,6.8,Nilambur,41.7,76.2,15.0,25.7,6.2,3.2,6.9,2.3,11.010956,76.049461
2024-07-22,Thrissur,Kollam,1,India,Villa,Unfurnished,21902273,4,4.0,1,2483,2483,0,15.64,2018,0,0.0,2,1.4,1.9,1.4,Yes,6.3,Anchal,35.2,61.0,15.3,15.3,8.8,3.8,8.9,4.0,8.794333,76.628958
2023-08-31,Kollam,Thrissur,1,India,Villa,Unfurnished,25880032,6,5.0,2,3881,1940,1941,15.45,2012,0,2.0,3,6.0,4.0,5.0,Yes,6.0,Guruvayur,16.0,55.3,18.3,29.6,9.8,7.4,1.8,9.1,10.482448,76.211
2023-06-23,Kottayam,Ernakulam,1,India,Villa,Unfurnished,47181084,6,5.0,2,4593,2296,2297,31.01,2020,0,3.0,5,2.3,1.9,2.4,Yes,3.8,Thevara,41.7,36.0,18.2,29.5,8.4,4.9,3.0,3.8,10.01846,76.325722
2024-09-16,Malappuram,Thiruvananthapuram,1,India,Independent House,Semi-Furnished,22720125,6,5.0,3,4227,1409,2818,15.91,1992,0,0.0,3,5.4,4.0,5.0,Yes,5.2,Sreekaryam,40.3,39.8,2.2,7.9,7.2,8.9,1.4,2.7,8.573231,76.932121
2025-06-01,Kozhikode,Thiruvananthapuram,1,India,Independent House,Unfurnished,32971459,5,5.0,3,3751,1250,2501,24.89,2010,0,0.0,3,5.2,4.0,5.0,No,5.7,Kowdiar,19.7,32.3,2.4,26.5,5.7,4.4,6.6,3.2,8.486136,76.933623
2024-11-12,Kannur,Kottayam,1,India,Villa,Unfurnished,29544669,6,5.0,2,4737,2368,2369,19.39,2013,0,0.0,2,5.9,4.0,5.0,Yes,8.4,Kuravilangad,14.8,75.8,10.0,21.7,7.4,4.1,3.4,7.2,9.455013,76.404231
2023-08-01,Alappuzha,Kottayam,1,India,Villa,Unfurnished,26669994,6,5.0,2,4517,2258,2259,32.19,2017,0,2.0,5,5.1,4.0,5.0,Yes,7.1,Kottayam,34.3,51.8,11.9,13.3,8.6,5.7,6.3,6.0,9.484184,76.44022
2024-05-15,Kollam,Kollam,1,India,Apartment,Fully Furnished,6383169,2,1.0,1,1118,1118,0,23.25,1990,2016,0.0,4,5.7,4.0,5.0,Yes,3.3,Anchal,7.4,62.9,12.0,24.5,8.5,7.4,7.8,7.6,8.921982,76.517562
2023-09-05,Kottayam,Kottayam,1,India,Independent House,Fully Furnished,8296574,2,2.0,1,1100,1100,0,7.84,2000,2018,2.0,3,1.5,1.7,1.5,Yes,7.1,Kumarakom,10.4,4.9,9.8,12.9,3.1,9.0,4.3,4.6,9.559747,76.623938
2024-07-22,Thrissur,Ernakulam,1,India,Apartment,Fully Furnished,17127610,4,4.0,1,2500,2500,0,8.22,2001,0,1.0,3,4.0,3.8,4.1,No,5.8,Muvattupuzha,0.9,68.5,19.6,15.0,7.9,8.2,2.4,3.0,9.951499,76.349001
2023-03-31,Malappuram,Wayanad,1,India,Independent House,Unfurnished,4014190,1,1.0,1,713,713,0,3.26,2019,0,2.0,2,4.2,3.8,4.1,No,5.3,Mananthavady,39.5,34.6,10.3,11.5,4.4,7.4,1.7,6.5,11.605311,76.113565
2024-03-18,Kochi,Thiruvananthapuram,1,India,Villa,Semi-Furnished,29691686,5,4.0,3,3449,1150,2299,25.46,1990,0,2.0,5,5.5,4.0,5.0,Yes,7.6,Neyyattinkara,33.4,59.5,18.7,25.4,6.7,5.4,6.3,6.7,8.443998,76.912877
2024-02-15,Alappuzha,Palakkad,1,India,Independent House,Unfurnished,15260359,3,2.0,3,1940,647,1293,18.03,2017,2021,4.0,2,3.1,3.5,2.9,Yes,8.4,Ottapalam,35.4,5.1,19.8,27.2,8.2,9.9,1.6,9.1,10.847225,76.511814
2023-01-06,Kottayam,Alappuzha,1,India,Villa,Semi-Furnished,11675979,3,3.0,2,2041,1020,1021,6.91,2004,0,4.0,5,4.9,4.0,4.6,Yes,8.2,Ambalappuzha,39.1,71.7,9.0,5.0,9.7,4.8,7.2,2.6,9.524754,76.349019
2023-03-26,Thrissur,Pathanamthitta,1,India,Villa,Fully Furnished,18963247,4,4.0,2,2722,1361,1361,8.6,2021,0,1.0,4,4.7,4.0,5.0,Yes,5.0,Mallappally,23.2,53.5,2.8,17.9,3.3,4.5,1.5,5.5,9.212468,76.674315
2023-01-10,Kollam,Malappuram,1,India,Villa,Fully Furnished,9099529,2,2.0,2,1297,648,649,9.65,1987,0,1.0,5,1.0,0.8,1.1,Yes,5.9,Edappal,28.7,37.7,6.7,3.9,5.3,7.2,3.5,4.7,11.04577,76.037641
2025-02-17,Alappuzha,Thrissur,1,India,Apartment,Fully Furnished,6995087,2,2.0,1,1237,1237,0,25.45,2001,0,2.0,4,5.5,4.0,5.0,Yes,7.1,Ayyanthole,7.4,25.7,7.3,26.6,3.4,8.6,8.2,7.4,10.538614,76.211748
2024-10-03,Malappuram,Idukki,1,India,Apartment,Semi-Furnished,13687500,4,3.0,1,2500,2500,0,11.42,2018,0,2.0,3,3.9,4.0,3.9,No,8.3,Adimali,6.2,26.3,17.8,7.0,8.4,9.8,8.2,7.0,9.978142,76.950852
2023-09-25,Thiruvananthapuram,Palakkad,1,India,Apartment,Unfurnished,21048891,4,3.0,1,2500,2500,0,26.71,2003,0,4.0,5,2.5,2.8,2.5,No,5.6,Pattambi,33.6,25.7,19.2,1.6,4.2,5.7,3.6,6.0,10.69812,76.664342
2024-08-11,Kochi,Malappuram,1,India,Villa,Fully Furnished,42845625,6,5.0,1,4419,4419,0,32.88,2015,0,2.0,2,5.3,4.0,5.0,Yes,6.2,Manjeri,23.8,12.2,3.6,22.5,3.9,5.7,5.4,5.9,11.0576,76.188735
2024-11-12,Kollam,Thiruvananthapuram,1,India,Villa,Semi-Furnished,30824034,6,5.0,3,4600,1533,3067,24.57,2006,0,0.0,2,2.2,1.7,2.6,No,4.5,Kattakada,28.5,38.2,0.6,20.2,3.7,8.7,6.5,7.1,8.586809,76.96855
2024-08-31,Malappuram,Alappuzha,1,India,Apartment,Unfurnished,13775000,4,4.0,1,2500,2500,0,24.27,2023,0,4.0,4,5.4,4.0,5.0,Yes,4.3,Ambalappuzha,38.4,37.4,16.6,12.6,8.0,9.3,6.1,6.2,9.607064,76.234899
2024-06-27,Kozhikode,Pathanamthitta,1,India,Independent House,Semi-Furnished,20090368,3,2.0,2,1993,996,997,22.64,1989,0,4.0,2,1.8,1.6,1.4,Yes,8.0,Pathanamthitta,31.9,34.1,11.3,18.8,3.6,7.1,9.0,2.0,9.20882,76.715874
2024-12-27,Thrissur,Idukki,1,India,Apartment,Fully Furnished,13214915,3,2.0,1,2253,2253,0,13.94,2006,0,,3,5.9,4.0,5.0,,8.9,Peerumade,27.9,56.8,15.1,23.3,6.1,3.1,5.8,4.6,9.818815,76.859865
2024-06-02,Malappuram,Ernakulam,1,India,Villa,Fully Furnished,24968800,5,5.0,3,3408,1136,2272,18.4,2007,0,0.0,3,1.1,0.7,1.1,Yes,6.4,Kakkanad,28.2,34.7,6.8,5.5,4.1,6.6,6.5,5.4,10.030812,76.272222
2024-02-17,Kollam,Kollam,1,India,Apartment,Fully Furnished,11837306,4,4.0,1,2500,2500,0,27.86,2016,0,4.0,3,5.7,4.0,5.0,Yes,8.3,Chavara,15.5,8.9,3.3,9.5,7.4,5.8,7.0,1.9,8.772335,76.508754
2025-06-17,Kozhikode,Pathanamthitta,1,India,Apartment,Unfurnished,17028000,4,4.0,1,2500,2500,0,21.06,1987,0,4.0,4,5.1,4.0,4.7,No,7.2,Mallappally,2.0,68.5,5.4,14.8,4.0,6.3,4.5,5.8,9.285081,76.85705
2024-06-25,Malappuram,Malappuram,1,India,Independent House,Unfurnished,8686621,3,3.0,2,1814,907,907,18.27,1996,2017,3.0,5,1.5,1.5,1.5,Yes,5.3,Nilambur,22.1,35.2,1.2,19.2,4.6,4.3,8.6,2.1,11.199738,76.313109
2024-02-09,Wayanad,Alappuzha,3,India,Apartment,Unfurnished,7501053,2,2.0,1,1335,1335,0,7.57,2012,0,3.0,3,10.8,10.0,10.7,Yes,7.2,Ambalappuzha,11.1,53.1,7.8,18.6,9.0,7.7,2.5,2.5,9.523153,76.250837
2023-07-03,Thrissur,Palakkad,1,India,Apartment,Semi-Furnished,22335672,4,3.0,1,2500,2500,0,10.27,1988,0,4.0,4,2.5,2.2,2.5,Yes,9.3,Cherpulassery,20.7,74.5,2.2,15.1,3.1,10.0,7.4,10.0,10.609436,76.671417
2023-08-20,Wayanad,Ernakulam,3,India,Independent House,Fully Furnished,32204929,6,5.0,1,4290,4290,0,30.22,2010,0,1.0,3,12.2,10.0,12.0,Yes,6.4,Fort Kochi,42.7,61.9,9.4,20.0,3.2,7.6,2.4,4.0,9.914965,76.256771
2023-06-14,Thrissur,Alappuzha,1,India,Apartment,Semi-Furnished,13265808,2,2.0,1,1674,1674,0,17.78,1996,0,2.0,2,5.3,4.0,5.0,Yes,9.3,Kuttanad,12.1,44.0,16.0,1.1,8.1,4.9,3.0,8.8,9.441032,76.318737
2024-05-29,Kollam,Pathanamthitta,1,India,Apartment,Fully Furnished,20685596,4,4.0,1,2500,2500,0,23.55,1992,0,1.0,2,4.2,4.0,4.2,Yes,1.8,Pathanamthitta,3.4,44.5,1.1,10.0,4.5,6.0,8.2,8.4,9.345278,76.802564
2024-07-26,Thrissur,Thiruvananthapuram,1,India,Apartment,Semi-Furnished,8879278,1,1.0,1,901,901,0,15.1,2025,0,1.0,5,3.7,3.3,3.4,No,8.0,Kowdiar,14.4,68.3,18.0,17.4,4.6,7.4,6.7,7.5,8.507309,76.857148
2023-03-27,Kozhikode,Wayanad,1,India,Independent House,Fully Furnished,5756526,1,1.0,1,714,714,0,9.08,1991,0,0.0,5,5.9,4.0,5.0,Yes,6.7,Vythiri,15.0,66.2,2.6,9.5,3.1,8.3,6.6,4.9,11.546025,76.091095
2023-11-05,Thrissur,Alappuzha,1,India,Apartment,Semi-Furnished,14058154,2,2.0,1,1448,1448,0,20.12,1996,0,0.0,5,2.3,2.0,2.0,Yes,6.0,Kuttanad,33.3,15.9,13.2,28.3,6.6,9.1,4.2,8.5,9.485697,76.471434
2025-06-11,Kollam,Kannur,1,India,Independent House,Semi-Furnished,8317833,2,2.0,1,1452,1452,0,6.17,1986,2025,2.0,4,4.6,4.0,4.7,Yes,6.7,Payyannur,28.1,50.9,5.0,28.9,5.8,6.2,9.5,8.5,11.880422,75.448619
2024-08-13,Wayanad,Kozhikode,3,India,Independent House,Fully Furnished,4579064,1,1.0,1,1018,1018,0,9.49,1994,0,,3,10.7,10.0,11.1,,2.9,Mukkam,39.3,69.5,16.9,11.5,8.8,9.5,3.9,2.7,11.220056,75.685204
2024-04-08,Kollam,Ernakulam,1,India,Apartment,Unfurnished,8101073,1,1.0,1,759,759,0,11.62,2024,0,4.0,2,2.3,1.9,2.0,Yes,6.1,Panampilly Nagar,33.4,64.7,0.4,7.3,3.7,9.4,2.4,3.4,9.902791,76.231982
2025-01-09,Kottayam,Thiruvananthapuram,1,India,Apartment,Semi-Furnished,16271062,4,3.0,1,2500,2500,0,20.01,2004,0,0.0,5,5.6,4.0,5.0,Yes,7.1,Kilimanoor,20.6,11.7,8.5,7.1,10.0,8.2,4.0,5.0,8.690278,76.874289
2023-04-29,Thrissur,Thrissur,1,India,Villa,Unfurnished,33831289,6,5.0,1,4296,4296,0,14.33,2010,0,3.0,2,4.7,4.0,5.0,Yes,9.2,Kodungallur,40.8,36.0,19.2,13.6,3.4,9.2,2.3,9.0,10.587079,76.137766
2024-10-09,Kollam,Kannur,1,India,Apartment,Unfurnished,6391566,2,1.0,1,1109,1109,0,5.38,2022,0,0.0,5,1.3,1.4,1.3,Yes,5.6,Thalassery,8.8,42.4,2.4,28.7,4.5,7.1,9.8,3.1,11.944526,75.400796
2023-12-20,Kollam,Kollam,1,India,Apartment,Unfurnished,7898136,2,1.0,1,1511,1511,0,14.3,2007,0,,2,2.6,2.9,2.9,,5.0,Kottarakkara,1.6,22.1,15.3,7.5,4.0,3.0,9.3,4.9,8.877469,76.586739
2023-11-08,Thiruvananthapuram,Ernakulam,1,India,Independent House,Fully Furnished,24742859,4,3.0,3,2890,963,1927,20.98,2010,0,0.0,2,2.5,2.2,2.1,Yes,5.6,Kothamangalam,5.0,55.0,14.6,10.3,8.4,6.5,8.0,4.2,9.927617,76.325686
2025-02-08,Kochi,Kottayam,1,India,Independent House,Fully Furnished,32023135,4,4.0,3,2770,923,1847,21.29,2022,0,4.0,2,3.0,2.9,2.9,Yes,8.1,Erattupetta,36.3,39.1,6.5,17.0,5.0,6.5,7.6,6.9,9.553601,76.421952
2024-08-18,Wayanad,Alappuzha,3,India,Villa,Fully Furnished,20359219,6,5.0,3,4372,1457,2915,27.81,1998,0,3.0,4,11.4,10.0,11.6,Yes,7.1,Alappuzha,23.4,25.2,1.4,17.3,3.2,3.5,1.8,6.3,9.387765,76.343807
2024-06-26,Kannur,Ernakulam,1,India,Villa,Semi-Furnished,28858544,5,5.0,2,3784,1892,1892,13.91,2002,0,1.0,2,5.5,4.0,5.0,Yes,5.5,Kakkanad,8.5,28.3,16.7,20.0,6.7,5.2,4.5,7.1,10.106327,76.302799
2023-01-21,Thrissur,Idukki,1,India,Independent House,Unfurnished,28435794,6,5.0,1,4357,4357,0,24.89,2020,0,0.0,3,3.7,3.6,3.5,Yes,7.4,Kumily,25.3,68.8,18.1,22.0,4.7,5.8,3.6,2.9,9.840509,76.992866
2023-07-31,Malappuram,Ernakulam,1,India,Independent House,Semi-Furnished,22582825,6,5.0,3,3902,1301,2601,15.65,2016,0,4.0,3,3.1,3.5,2.8,Yes,6.7,Mattancherry,8.0,69.6,2.7,23.8,7.3,7.6,1.8,6.1,10.08448,76.307551
2023-02-16,Kollam,Alappuzha,1,India,Apartment,Fully Furnished,12329582,4,4.0,1,2500,2500,0,13.88,2006,0,1.0,5,3.3,3.0,3.2,Yes,8.2,Cherthala,35.0,65.4,17.0,15.0,6.1,6.6,8.6,2.8,9.457126,76.418503
2023-10-20,Kottayam,Ernakulam,1,India,Villa,Semi-Furnished,21907581,6,5.0,3,4073,1358,2715,27.98,2004,0,0.0,2,3.4,3.3,3.2,Yes,5.2,Angamaly,22.6,73.3,16.7,2.6,3.6,3.1,9.4,5.2,10.014301,76.41286
2023-10-02,Thrissur,Kozhikode,1,India,Villa,Unfurnished,8123505,1,1.0,1,828,828,0,6.78,1992,0,4.0,2,1.8,1.5,2.2,Yes,5.9,Mukkam,19.4,76.3,11.6,20.4,9.3,9.9,7.2,9.3,11.274659,75.682042
2024-01-17,Kochi,Alappuzha,1,India,Villa,Semi-Furnished,37001686,5,4.0,1,3614,3614,0,10.33,2016,0,2.0,2,4.2,4.0,4.6,Yes,5.8,Kayamkulam,15.4,40.4,15.7,18.0,4.6,5.3,2.6,5.7,9.380547,76.462074
2024-03-07,Wayanad,Kollam,3,India,Villa,Semi-Furnished,15177325,6,5.0,2,4082,2041,2041,28.0,2019,0,0.0,4,11.7,10.0,12.2,No,3.9,Kundara,31.7,9.5,1.0,6.8,3.1,5.9,8.8,4.5,9.027893,76.575638
